This file was created by CMPT_ME_PRIOR_RETS using the 201803 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from -12 to - 2.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199210,   0.80,   2.02,   2.91,   1.99,   1.93,   3.59
199211,   7.72,   6.66,   8.09,   5.50,   4.04,   5.97
199212,   2.76,   3.64,   6.11,   0.77,   2.25,   4.01
199301,   8.59,   6.98,   8.94,  -0.83,   1.42,   3.44
199302,  -2.57,  -0.43,  -0.54,  -1.63,   0.52,   0.33
199303,   1.74,   2.36,   4.42,   1.28,   2.55,   5.67
199304,  -2.00,  -1.37,  -1.20,  -2.21,  -2.52,  -2.86
199305,   5.00,   3.78,   3.73,   4.23,   2.11,   3.96
199306,   0.44,   2.03,   2.54,  -2.09,   0.70,   2.56
199307,   0.68,   2.07,   2.47,  -1.91,   0.17,   1.13
199308,   3.11,   3.24,   5.29,   3.69,   3.25,   6.80
199309,   1.80,   4.16,   4.42,  -1.57,  -0.30,   2.81
199310,   6.01,   4.11,   4.55,   3.52,   0.06,   0.30
199311,  -2.37,  -1.82,  -2.91,   1.09,  -3.11,  -4.13
199312,  -1.20,   2.05,   1.81,   2.00,   3.16,   4.39
199401,   6.33,   4.14,   5.24,   4.97,   2.04,   2.90
199402,  -0.22,   0.02,  -1.14,  -1.24,  -1.98,  -1.01
199403,  -3.55,  -3.73,  -5.21,  -3.79,  -4.30,  -5.13
199404,  -3.75,  -0.76,  -0.43,   0.64,   1.00,   0.90
199405,   0.15,   0.39,  -0.95,   0.18,   0.48,  -1.16
199406,  -4.09,  -1.47,  -2.13,  -2.42,  -2.00,  -4.60
199407,  -0.04,   1.03,   2.18,   4.28,   2.86,   2.94
199408,   3.73,   3.59,   3.82,   4.91,   4.27,   6.22
199409,   1.34,   0.89,   2.07,  -2.71,  -2.26,  -0.78
199410,  -1.29,  -0.16,   1.19,   1.30,   0.78,   1.46
199411,  -5.64,  -3.44,  -3.18,  -3.33,  -4.45,  -4.92
199412,  -4.74,  -0.15,   1.03,   1.05,   1.29,   2.06
199501,   6.25,   1.92,   2.04,   3.05,   2.31,  -0.49
199502,   2.42,   2.82,   3.51,   5.34,   4.62,   5.10
199503,   1.26,   1.67,   2.26,   2.66,   2.08,   3.38
199504,   2.13,   2.47,   3.25,   1.27,   1.76,   1.79
199505,   1.43,   1.76,   2.43,   4.31,   3.60,   1.71
199506,   5.57,   4.54,   7.42,   3.20,   1.75,   5.68
199507,   5.53,   4.82,   7.80,   3.84,   3.50,   6.83
199508,   3.37,   5.03,   4.47,   0.77,   1.96,   1.14
199509,   2.38,   3.12,   3.56,   0.30,   2.52,   3.51
199510,  -7.28,  -2.57,  -4.37,  -4.48,  -1.46,  -1.26
199511,  -1.68,   2.29,   2.59,   6.95,   4.60,   4.44
199512,  -1.35,   1.82,   3.00,  -0.05,   2.12,   0.18
199601,   5.51,   2.16,   1.38,   0.68,   1.64,   1.48
199602,   4.58,   3.41,   3.76,   2.41,   1.36,   3.32
199603,   4.00,   2.17,   2.74,   2.19,   1.28,   2.31
199604,   6.97,   4.11,   8.38,   5.33,   1.38,   4.07
199605,   9.23,   5.81,   8.58,   0.56,   1.25,   3.11
199606,  -3.96,  -1.81,  -4.41,  -2.89,  -0.22,  -2.81
199607,  -9.07,  -6.02, -10.07,  -7.73,  -5.02,  -6.83
199608,   3.84,   3.85,   5.55,   4.93,   4.01,   5.47
199609,   1.41,   2.63,   4.28,   4.07,   4.21,   6.05
199610,  -4.69,   0.17,  -1.64,  -2.98,   1.73,   0.09
199611,   1.60,   2.97,   1.56,   7.91,   6.10,   4.56
199612,  -3.78,   2.15,   1.89,  -0.71,  -0.25,  -0.78
199701,  10.24,   5.32,   5.44,   2.61,   2.54,   3.63
199702,  -2.30,   0.75,  -2.50,  -0.50,   1.69,  -3.29
199703,  -6.97,  -2.86,  -4.16,  -5.67,  -4.01,  -5.09
199704,  -4.81,  -1.25,  -1.64,   0.10,   2.19,   3.86
199705,  10.00,   7.85,   8.94,  12.13,   6.77,   7.24
199706,   2.63,   5.90,   6.99,   3.43,   3.30,   4.79
199707,   3.64,   5.29,   6.49,   4.49,   6.22,  10.62
199708,   4.60,   4.02,   4.37,   0.09,  -1.09,  -1.53
199709,   8.98,   8.91,  10.17,   4.54,   5.15,   7.16
199710,  -2.23,  -0.29,  -1.86,  -4.25,  -3.71,  -4.62
199711,  -5.50,  -0.40,  -0.66,   1.89,   2.54,   0.82
199712, -10.25,   0.15,   0.57,  -0.22,   2.59,   3.80
199801,   4.53,  -0.04,  -0.47,  -0.95,  -1.08,  -1.78
199802,   5.95,   6.18,   6.01,   8.74,   7.51,   8.25
199803,   4.38,   5.31,   5.65,   4.16,   4.82,   4.99
199804,   3.78,   2.62,   2.35,   1.29,   0.00,   1.06
199805,  -5.18,  -3.62,  -4.45,  -5.11,  -3.33,  -4.22
199806,  -6.87,  -2.53,  -0.52,  -3.44,   0.79,   5.30
199807,  -7.00,  -5.22,  -4.81,  -7.69,  -5.59,  -3.68
199808, -23.18, -17.26, -20.18, -20.08, -16.14, -17.35
199809,   2.57,   3.03,   6.11,   9.29,   4.54,   6.87
199810,   4.45,   1.61,   1.30,  13.48,   7.58,   4.28
199811,   9.90,   7.11,   8.20,   4.11,   5.42,   5.84
199812,  -0.41,   2.23,   5.64,   0.87,   4.12,   9.61
199901,  13.50,   3.33,   6.14,  -2.87,  -3.16,   3.27
199902,  -5.05,  -4.74,  -5.44,  -2.96,  -3.81,  -5.34
199903,  -2.33,  -3.35,  -1.22,   7.07,  -0.28,   4.11
199904,  10.97,   6.39,   9.13,  14.98,  10.03,   4.66
199905,   6.31,   3.52,   2.61,   4.77,   0.97,  -0.26
199906,   2.64,   3.62,   6.26,   3.80,   2.95,   6.11
199907,   1.82,   1.61,   1.79,  -3.81,  -2.62,  -1.38
199908,  -4.52,  -2.59,  -2.06,  -5.79,  -4.49,  -1.23
199909,  -3.78,  -2.11,   1.05,  -6.26,  -4.37,   0.68
199910,  -4.02,  -0.36,   1.04,  -0.08,   2.78,   6.26
199911,  10.50,   5.76,  15.50,   1.82,  -1.10,   8.07
199912,   7.55,   3.80,  15.21,   3.41,   0.28,  14.48
200001,  11.67,   4.24,   9.30,  -6.73,  -4.71,  -2.28
200002,  11.77,   7.76,  27.18,  -8.29,  -3.81,  16.78
200003,  -0.67,  -0.52,  -0.07,  14.27,  12.82,  -1.57
200004,  -8.01,  -2.82, -14.13,  -0.86,   0.45,  -8.69
200005,  -6.72,  -2.96,  -8.94,   2.34,   2.76,  -6.25
200006,   3.38,   2.82,  16.60,  -4.89,  -3.06,  10.70
200007,  -1.85,   0.23,  -3.27,   0.65,   2.06,  -5.02
200008,   4.32,   3.59,  10.08,   5.53,   5.44,  12.67
200009,  -7.89,  -0.73,  -3.13,  -5.49,   0.40,  -3.53
200010,  -8.73,  -4.18,  -8.32,  -0.20,   1.71,  -4.44
200011, -16.85,  -6.82, -13.70,  -7.56,  -3.12, -14.93
200012,  -9.10,   1.62,   1.65,   3.74,   6.81,   9.37
200101,  49.10,  12.59,  10.84,  18.70,   3.76,  -5.16
200102, -10.84,  -0.72,  -3.36, -16.66,  -5.10,  -3.94
200103, -10.30,  -0.60,  -0.47, -14.57,  -4.55,  -3.32
200104,   8.85,   3.82,   5.90,  18.25,   7.71,   5.62
200105,   8.52,   7.13,   8.07,  -1.04,   3.62,   2.11
200106,   0.17,   4.14,   4.09,  -1.13,  -1.50,  -0.57
200107,  -5.71,   0.68,   1.05,  -8.31,  -0.49,   1.11
200108,  -5.85,  -0.26,  -1.64,  -9.83,  -2.26,  -2.81
200109, -17.49,  -9.35,  -8.38, -21.80,  -9.09,  -7.78
200110,  12.48,   5.28,   6.07,  11.30,   1.58,   1.43
200111,  11.60,   5.34,   5.40,  13.64,   7.46,   4.45
200112,   8.96,   5.27,   6.00,   3.70,   4.23,   4.09
200201,   1.72,   2.33,   3.83,  -4.50,  -0.23,   0.40
200202,  -8.56,  -0.60,  -1.43,  -7.15,   0.82,   0.02
200203,   9.35,   7.50,   8.39,   9.76,   5.54,   4.93
200204,  -2.90,   2.53,   2.24,  -7.58,  -1.85,   1.42
200205,  -6.01,  -0.76,   0.16,  -4.13,  -0.59,  -1.79
200206, -12.28,  -3.77,  -2.17, -14.45,  -6.28,  -5.58
200207, -15.11, -10.33, -10.85, -12.69,  -8.08,  -8.36
200208,  -0.28,   0.45,   0.51,  -0.02,   1.32,   1.56
200209, -13.35,  -6.03,  -4.64, -16.58,  -7.87,  -5.79
200210,   6.78,   2.36,   4.08,   8.56,   4.51,   4.00
200211,  25.07,   6.58,   4.94,  18.25,   5.11,   1.55
200212, -10.87,  -2.50,  -0.08, -10.35,  -3.46,  -1.25
200301,   1.10,  -0.07,   1.05,  -2.49,  -2.57,  -2.21
200302,  -4.49,  -2.16,  -0.84,  -3.06,  -2.20,  -1.03
200303,   1.20,   0.12,   2.32,  -0.03,   0.82,   1.33
200304,  15.34,   8.42,   6.92,  14.53,   8.02,   5.55
200305,  25.32,  11.52,   8.38,  14.87,   8.09,   6.87
200306,   8.60,   4.88,   4.70,   1.25,   0.64,   1.27
200307,   8.40,   6.66,   9.33,   4.05,   3.64,   2.16
200308,   5.46,   4.46,   5.87,   5.00,   3.71,   5.27
200309,   5.04,   1.41,   3.37,  -2.02,  -1.21,  -2.05
200310,   7.30,   7.75,  10.25,   5.32,   6.74,  10.11
200311,   2.83,   4.18,   4.87,   2.33,   2.07,   3.45
200312,   5.39,   3.50,   2.74,   6.12,   3.41,   0.14
200401,   8.04,   5.63,   9.94,   1.88,   2.42,   3.26
200402,   0.87,   0.84,   0.68,   2.50,   2.77,   1.17
200403,   0.58,   1.09,  -0.15,  -0.78,  -0.27,   0.24
200404,  -1.76,  -1.75,  -5.11,  -0.60,  -2.48,  -5.92
200405,  -1.68,  -0.08,   0.15,   1.18,   1.67,   2.64
200406,   1.74,   2.86,   3.29,   1.69,   2.30,   3.63
200407,  -7.70,  -5.02,  -7.87,  -4.33,  -4.06,  -6.13
200408,  -1.54,  -0.97,  -2.19,   0.01,   0.07,  -1.96
200409,   3.00,   3.97,   6.44,   1.60,   2.78,   5.43
200410,   1.81,   2.20,   1.60,   3.34,   1.68,   1.57
200411,  10.51,   7.88,   9.32,   5.52,   5.42,   7.40
200412,   8.92,   3.64,   5.10,   4.79,   4.31,   2.86
200501,  -5.64,  -2.32,  -2.09,  -4.59,  -1.87,  -0.97
200502,  -0.75,   1.18,   2.86,   0.72,   2.27,   4.53
200503,  -4.25,  -2.38,  -2.62,  -1.61,  -1.03,  -1.62
200504,  -7.65,  -4.32,  -6.34,  -4.32,  -2.43,  -4.57
200505,   4.73,   4.48,   6.33,   5.32,   4.13,   5.92
200506,   3.50,   3.69,   3.98,   0.75,   1.42,   3.77
200507,   7.38,   5.66,   7.43,   5.77,   4.54,   5.39
200508,  -1.87,  -1.19,  -0.04,  -1.22,  -0.94,   0.02
200509,  -0.14,   0.81,   1.63,  -1.13,   0.82,   2.89
200510,  -4.34,  -2.19,  -3.38,  -1.35,  -1.66,  -4.26
200511,   3.04,   3.31,   4.47,   5.17,   4.40,   4.28
200512,   1.04,   0.27,   1.03,   0.32,   0.53,   1.55
200601,   9.12,   6.56,  10.68,   3.23,   2.99,   7.64
200602,   0.64,   1.29,  -0.03,   0.41,   1.19,  -1.57
200603,   4.22,   4.57,   5.33,   1.84,   1.45,   4.50
200604,   0.51,  -0.08,   1.02,   0.93,   0.96,   1.40
200605,  -4.90,  -3.67,  -6.85,  -1.83,  -2.80,  -6.21
200606,  -2.01,   0.07,  -1.15,  -1.45,   0.41,   0.52
200607,  -4.46,  -2.19,  -3.99,  -2.08,  -0.90,  -4.85
200608,   3.11,   1.67,   1.74,   4.09,   2.66,   0.10
200609,   0.47,   1.04,   0.98,   2.90,   1.76,   1.07
200610,   5.56,   4.83,   5.49,   4.01,   3.56,   3.76
200611,   2.86,   2.09,   2.33,   4.66,   2.50,   2.93
200612,   1.05,   1.50,   2.04,  -0.25,   0.77,   0.68
200701,   2.63,   1.39,   2.61,   3.40,   2.36,   3.79
200702,   0.48,   0.61,  -0.80,   0.40,   0.14,  -0.21
200703,  -1.00,   0.69,   1.73,  -0.51,   1.21,   2.73
200704,   2.03,   1.39,   2.91,   5.04,   3.94,   3.78
200705,   1.45,   2.78,   2.19,   4.48,   3.92,   4.09
200706,  -0.77,  -0.22,  -0.45,  -1.82,  -1.15,  -1.49
200707,  -5.79,  -5.28,  -4.29,  -5.68,  -3.52,  -3.32
200708,  -1.65,  -0.87,  -0.66,  -0.52,   0.39,   0.33
200709,  -0.22,   0.56,   3.88,   1.46,   2.60,   4.52
200710,  -1.40,   1.26,   4.15,  -1.04,   1.87,   4.46
200711, -10.43,  -6.87,  -8.86,  -8.15,  -3.87,  -4.83
200712,  -3.18,  -1.22,   1.08,  -5.89,  -1.38,   1.71
200801,  -2.42,  -5.52, -10.05,   0.71,  -4.46,  -8.50
200802,  -3.84,  -2.33,  -1.61,  -9.02,  -2.84,   1.16
200803,  -4.43,   0.13,  -2.23,  -5.02,  -1.16,  -0.70
200804,   0.48,   2.12,   2.54,   6.83,   4.76,   7.03
200805,   2.98,   3.51,   3.73,   2.57,   3.02,   5.28
200806, -12.82,  -8.59,  -4.99, -16.52,  -9.97,  -3.11
200807,   0.68,   2.77,   1.92,  -1.55,   1.71,  -4.19
200808,   2.64,   3.26,   1.35,   3.92,   3.32,  -0.77
200809, -13.06,  -7.99, -10.30, -12.37,  -9.27, -14.13
200810, -24.37, -19.20, -18.43, -24.49, -19.93, -18.39
200811, -18.71, -14.02, -10.39, -13.59,  -7.86,  -8.31
200812,   3.13,   2.50,   3.30,   7.20,   4.37,   0.74
200901,   2.29,  -6.19,  -8.65,  -6.16,  -7.53,  -7.37
200902, -13.40, -10.99, -11.08, -12.75,  -9.55,  -9.51
200903,  21.37,   8.88,   7.42,  13.44,  10.52,   6.55
200904,  38.19,  18.19,   9.39,  37.86,  17.53,   5.60
200905,  19.08,   7.51,   4.76,  15.55,   5.29,   1.16
200906,   5.35,   3.46,   4.28,  -3.87,   0.10,   2.00
200907,  10.24,   8.73,   7.37,  11.45,   9.39,   6.34
200908,  14.99,   4.70,   0.73,   9.27,   3.97,   2.13
200909,  10.66,   5.84,   4.82,   9.52,   5.08,   4.57
200910,  -8.39,  -5.12,  -7.34,  -5.88,  -3.44,  -3.53
200911,  -0.89,   1.12,   3.47,   5.20,   4.68,   5.63
200912,   6.50,   6.17,   8.12,   4.35,   5.05,   6.44
201001,   2.25,  -1.32,  -1.17,  -1.13,  -2.76,  -5.73
201002,   1.80,   3.57,   6.32,   2.30,   4.42,   7.14
201003,   7.72,   8.34,   9.04,   5.75,   6.79,   9.00
201004,   9.93,   6.81,  10.16,   2.95,   2.91,   4.82
201005,  -8.87,  -7.10,  -8.46,  -7.61,  -7.23,  -8.41
201006,  -8.43,  -6.50,  -9.65,  -5.70,  -5.52,  -8.01
201007,   5.01,   5.27,   6.67,   6.48,   6.88,   8.35
201008,  -7.45,  -7.06,  -7.25,  -5.42,  -4.71,  -4.88
201009,  10.56,  10.14,  12.73,  11.39,  10.08,  11.59
201010,   4.13,   3.79,   4.93,   2.24,   3.77,   4.70
201011,   0.80,   3.12,   3.65,   0.77,   1.71,   3.84
201012,  10.00,   8.32,   7.98,   8.78,   6.97,   5.32
201101,   2.59,   1.15,   1.41,   3.98,   1.99,   1.31
201102,   2.94,   4.74,   5.28,   3.69,   4.33,   5.25
201103,  -1.38,   2.19,   3.33,   0.56,   1.43,   3.34
201104,   0.29,   1.68,   1.12,   2.86,   3.55,   3.25
201105,  -3.06,  -1.73,  -2.07,  -0.39,  -0.56,  -1.77
201106,  -3.98,  -1.38,  -1.90,  -3.09,  -1.88,  -0.96
201107,  -1.73,  -2.53,  -2.57,  -3.15,  -3.86,  -3.13
201108, -10.82,  -7.67, -10.47,  -8.62,  -5.87,  -8.25
201109, -10.69,  -9.44, -13.30,  -8.44,  -8.62, -12.75
201110,  10.65,  11.36,  14.32,  14.95,  13.45,  13.11
201111,  -4.91,  -0.71,  -0.03,  -2.83,   0.18,   0.43
201112,  -1.02,   1.08,   0.95,  -1.20,   0.25,  -0.78
201201,  13.94,   7.48,   6.42,  11.57,   6.64,   3.49
201202,   4.86,   3.02,   3.08,   6.14,   4.18,   3.88
201203,   3.06,   4.05,   4.08,  -0.69,   2.17,   2.63
201204,  -3.06,  -1.13,   0.45,  -4.11,  -1.32,   1.21
201205,  -9.53,  -5.11,  -5.25, -12.46,  -7.23,  -4.81
201206,   3.54,   4.42,   4.49,   2.40,   3.34,   2.50
201207,  -2.64,  -0.93,   0.10,  -1.37,   0.61,  -0.03
201208,   3.01,   1.98,   2.92,   4.93,   3.81,   2.55
201209,   5.21,   3.45,   3.83,   3.37,   2.38,   1.74
201210,  -3.54,  -1.91,  -0.47,  -0.44,  -0.68,  -1.20
201211,  -0.08,  -0.26,  -0.11,   1.37,   1.84,   2.07
201212,   2.85,   3.35,   1.68,   3.96,   1.67,   1.77
201301,   7.85,   6.52,   7.91,   7.32,   6.78,   7.23
201302,   0.34,   1.57,   1.39,  -1.08,   1.95,   1.53
201303,   2.95,   4.40,   6.41,   4.08,   4.38,   5.33
201304,  -1.01,  -0.41,   0.76,   0.58,   0.92,   0.51
201305,   6.59,   4.09,   4.66,   3.68,   3.03,   3.27
201306,  -0.73,   1.25,   0.93,  -1.50,  -0.60,  -1.97
201307,   8.51,   7.54,   7.65,   6.14,   6.15,   7.57
201308,  -1.59,  -2.08,  -2.33,  -2.11,  -2.51,  -2.24
201309,   5.63,   5.72,   6.86,   3.98,   4.73,   6.37
201310,   1.64,   2.95,   2.66,   2.59,   4.29,   3.35
201311,   4.77,   4.72,   5.59,   1.51,   2.41,   3.21
201312,   2.86,   2.20,   3.15,   2.81,   2.90,   2.94
201401,   3.11,  -1.57,  -0.27,  -2.62,  -3.29,  -1.23
201402,   3.65,   3.83,   5.39,   4.53,   5.19,   6.79
201403,   0.31,   1.01,  -0.53,   1.03,   0.50,  -2.52
201404,  -4.59,  -3.29,  -5.78,   1.36,  -0.76,  -3.04
201405,  -0.82,   0.48,  -1.15,   1.16,   1.87,   2.45
201406,   4.45,   4.39,   5.20,   4.06,   3.59,   4.25
201407,  -4.86,  -4.14,  -5.65,  -2.47,  -3.52,  -3.87
201408,   3.08,   3.88,   4.79,   5.40,   4.57,   5.19
201409,  -6.76,  -3.95,  -4.54,  -3.86,  -3.25,  -3.67
201410,   1.76,   5.57,   3.24,   1.67,   3.86,   1.66
201411,  -2.15,  -0.23,   0.40,   0.29,   2.10,   2.49
201412,   1.52,   2.75,   2.77,  -0.52,   0.74,   0.31
201501,  -5.17,  -3.12,  -2.28,  -4.42,  -3.67,  -0.54
201502,   8.18,   5.18,   4.79,   9.45,   7.17,   5.39
201503,  -2.00,   1.47,   1.93,  -2.97,   0.39,   0.99
201504,   3.43,  -1.28,  -3.24,   5.47,   0.36,  -2.43
201505,  -1.47,   0.67,   3.49,  -3.00,   1.89,   3.50
201506,  -1.38,   1.11,   1.61,  -4.17,  -1.68,  -0.39
201507,  -9.47,  -1.43,  -0.51,  -8.90,   1.10,   3.00
201508,  -3.44,  -3.26,  -5.59,  -4.30,  -5.57,  -6.53
201509, -10.63,  -3.21,  -4.28,  -9.64,  -3.04,  -3.53
201510,   5.37,   4.88,   4.76,   8.56,   6.37,   5.26
201511,   1.13,   2.79,   4.25,  -1.12,   1.09,   1.21
201512,  -7.75,  -3.67,  -3.55,  -6.31,  -3.45,  -2.55
201601, -12.09,  -8.81,  -9.13,  -8.17,  -7.18,  -6.73
201602,   0.60,   1.50,  -1.63,   2.13,   2.16,  -0.67
201603,  12.67,   6.91,   4.60,  11.34,   7.63,   6.16
201604,   7.11,   2.98,   2.68,   6.85,   1.90,  -0.64
201605,  -1.50,   1.37,   0.92,  -0.57,   1.83,   2.67
201606,  -0.64,  -0.52,   0.30,  -3.39,  -1.94,   2.33
201607,   7.48,   5.50,   4.85,   8.01,   4.65,   2.95
201608,   3.47,   2.63,   1.59,   2.00,   0.87,  -0.55
201609,   3.72,   1.84,   2.55,   1.13,   0.00,   0.63
201610,  -8.60,  -2.96,  -6.15,  -3.30,  -1.80,  -3.81
201611,   8.28,  11.00,  11.28,   9.13,   6.76,   6.27
201612,   0.64,   4.88,   2.35,   1.15,   1.26,   0.68
201701,   3.05,   0.05,   0.90,   3.23,   1.92,   2.17
201702,   1.77,   1.43,   0.81,   3.58,   2.81,   1.85
201703,   1.00,   0.73,   0.49,  -0.67,   0.51,  -0.67
201704,  -1.82,   1.66,   0.80,   0.52,   1.25,   0.20
201705,  -4.50,  -2.04,  -2.22,  -0.79,   0.39,   0.86
201706,   5.41,   3.96,   3.62,   1.89,   1.58,   1.08
201707,  -1.79,  -0.26,   0.51,   1.09,   0.62,   2.78
201708,  -3.45,  -1.58,  -0.74,  -3.12,   0.09,  -0.12
201709,   9.73,   8.19,   7.54,   4.52,   2.84,   3.71
201710,  -2.49,   0.79,   0.77,  -1.86,   1.75,   3.57
201711,   4.39,   2.72,   2.81,   4.49,   3.50,   3.31
201712,   1.54,  -0.22,   1.94,   3.93,   0.97,  -0.37
201801,   2.43,   2.67,   2.81,   2.75,   3.68,   6.29
201802,  -5.41,  -3.09,  -3.35,  -5.61,  -3.89,  -2.92
201803,   1.18,   2.69,   0.63,  -0.35,  -0.31,  -0.36


  Average Value Weighted Returns -- Annual
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
  1927,  16.87,  38.09,  33.49,  15.54,  29.15,  45.39
  1928,  23.20,  39.48,  45.33,  24.43,  30.92,  58.72
  1929, -48.72, -36.66, -35.54, -38.23,  -3.99,  -9.96
  1930, -51.63, -40.12, -28.47, -49.88, -33.78, -21.54
  1931, -59.62, -47.29, -35.58, -59.29, -50.61, -35.42
  1932,  11.51,   4.39, -16.17,  -2.91,  -5.84, -17.22
  1933, 125.57, 133.28, 133.57,  49.70,  60.81,  81.79
  1934,  13.73,  15.24,  39.03,  -8.64,  -1.23,   0.70
  1935,  48.70,  56.52,  82.54,  45.11,  42.43,  56.21
  1936,  56.96,  56.16,  56.50,  22.65,  33.80,  34.89
  1937, -49.34, -45.14, -52.64, -30.89, -35.15, -36.32
  1938,  36.81,  44.26,  37.29,  26.50,  37.89,  22.66
  1939,   4.77,  -0.19,   5.90,   0.05,   4.63,   0.68
  1940, -10.96,  -6.93,   4.23,  -6.83,  -5.17, -10.43
  1941, -10.58, -13.52,  -4.61, -17.48, -11.30,  -5.17
  1942,  37.66,  30.62,  23.95,  26.57,  14.07,   9.23
  1943,  61.23,  58.25,  74.30,  22.31,  27.46,  37.73
  1944,  42.82,  41.46,  49.65,  17.65,  21.82,  32.67
  1945,  66.41,  68.20,  68.08,  31.70,  39.69,  61.12
  1946, -16.54,  -6.93,  -9.97,  -9.82,  -2.41,  -5.77
  1947, -11.50,  -0.55,   9.75,  -3.34,   8.04,   3.09
  1948, -13.47,  -3.65,   1.81,  -2.92,   0.88,   5.52
  1949,  20.58,  19.79,  24.93,  25.20,  18.56,  21.56
  1950,  37.63,  33.66,  46.66,  18.72,  29.22,  40.47
  1951,  10.62,  13.81,  19.14,  14.26,  20.77,  28.99
  1952,   2.77,  11.41,  13.16,   9.15,  12.92,  16.79
  1953, -13.84,  -2.02,   5.87,  -7.82,   1.72,   5.12
  1954,  59.20,  55.99,  62.50,  39.29,  46.07,  56.67
  1955,  15.64,  19.66,  28.82,  15.44,  27.48,  30.37
  1956,  -4.40,   5.96,  22.18,  -0.21,   9.46,  11.30
  1957, -23.44, -13.36, -14.20, -18.80,  -6.80,  -8.23
  1958,  72.29,  58.12,  62.84,  52.09,  43.29,  42.42
  1959,   8.59,  19.68,  25.91,   1.83,  14.23,  22.96
  1960, -12.93,  -2.20,   4.46,  -6.78,  -3.19,  10.21
  1961,  25.68,  29.58,  39.65,  19.79,  28.51,  27.32
  1962, -21.85,  -8.18, -13.61, -20.72, -10.03,  -5.03
  1963,  11.83,  17.95,  27.66,  15.14,  19.92,  22.64
  1964,  12.96,  20.42,  19.21,  15.96,  13.64,  19.03
  1965,  26.79,  34.61,  47.31,   9.68,   7.17,  30.29
  1966, -10.90,  -7.43,  -2.85, -13.69,  -9.09,  -0.82
  1967,  64.21,  67.66,  95.71,  27.17,  15.21,  40.64
  1968,  36.69,  39.91,  41.83,  14.94,   8.33,  14.24
  1969, -34.92, -25.88, -19.48, -12.32, -11.23,  -7.94
  1970, -16.14,  -3.49, -12.17,   6.39,   7.65,  -4.24
  1971,  13.33,  16.52,  27.65,  23.37,  15.18,  16.01
  1972,  -3.08,   6.07,  10.25,   6.02,  18.41,  23.69
  1973, -47.86, -30.61, -22.18, -43.83, -19.36, -10.68
  1974, -33.71, -26.21, -22.97, -29.26, -27.16, -23.48
  1975,  66.47,  54.86,  50.28,  51.51,  35.35,  29.69
  1976,  45.21,  51.38,  49.86,  15.47,  32.08,  25.77
  1977,   7.66,  19.45,  26.20, -12.85,  -2.92,   4.39
  1978,  15.68,  17.32,  24.75,   4.33,   4.42,  19.35
  1979,  28.98,  33.16,  57.81,  14.36,  14.89,  39.83
  1980,  21.69,  25.69,  60.41,  19.11,  22.66,  54.79
  1981,  -1.36,  11.95,   4.45,   7.44,  -2.79, -14.93
  1982,   4.23,  31.62,  43.92,   6.24,  18.35,  35.93
  1983,  34.84,  34.49,  30.72,  29.54,  18.70,  12.63
  1984, -16.60,   2.66,   3.07,   2.76,   8.25,   1.62
  1985,  16.63,  33.47,  42.15,  28.63,  35.20,  32.60
  1986,  -3.68,  10.37,  13.62,  21.15,  16.88,  20.70
  1987, -11.41,  -5.20,  -5.67,  17.73,  -2.91,   4.47
  1988,  19.49,  22.97,  25.48,  29.92,  17.15,  13.48
  1989,   2.16,  18.95,  27.93,  11.73,  29.14,  41.84
  1990, -34.45, -18.12, -12.59, -15.77,  -4.14,  -2.40
  1991,  33.54,  41.80,  63.93,  44.63,  29.20,  43.58
  1992,  14.74,  19.93,  22.13,   7.72,   9.11,   6.72
  1993,   6.54,  18.78,  28.94,   0.14,   5.45,  25.17
  1994,  -8.99,  -1.26,   0.76,   1.88,   0.19,  -1.43
  1995,  13.61,  29.83,  42.74,  33.08,  36.76,  38.78
  1996,  13.70,  21.16,  20.54,  17.43,  21.58,  23.56
  1997,  13.53,  34.14,  31.94,  27.49,  29.91,  32.76
  1998, -16.70,  -0.42,   6.03,  14.82,  18.38,  38.99
  1999,  16.05,   4.80,  54.22,   6.61,   1.02,  36.94
  2000, -22.75,   8.97,   8.98, -13.63,   0.05, -14.67
  2001,  19.88,  25.27,  20.11, -17.96,  -6.86,  -9.65
  2002, -39.24, -10.04,  -7.05, -32.04, -18.83, -12.90
  2003,  77.93,  46.95,  54.47,  52.07,  23.91,  27.09
  2004,  17.96,  21.51,  17.46,  10.89,  10.99,  10.62
  2005,  -3.03,   5.75,  12.41,   1.57,   5.35,  15.84
  2006,  18.01,  17.20,  13.44,  20.79,  14.49,   9.77
  2007, -11.37,  -1.59,   4.83,  -8.16,   4.62,  18.91
  2008, -45.11, -34.91, -36.86, -54.91, -31.20, -36.71
  2009, 121.62,  44.10,  10.82,  70.16,  38.50,  15.61
  2010,  31.32,  26.06,  33.19,  16.29,  12.61,  26.44
  2011, -15.31,   0.21,  -2.21,  -5.66,   5.92,  -4.24
